,Brand,Ram,Processor,Storage,Screen Size,Operating System,Price
481,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
482,ASUS,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 10,95990
483,DELL,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,41600
484,DELL,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,67224
485,ASUS,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,61986
486,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
487,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
488,ASUS,4,Intel Core i5 Processor,1 TB HDD,35.56,Windows 10,61249
489,HP,8,AMD Ryzen 3 Dual Core Processor,256 GB SSD,39.62,Windows 11,38999
490,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
491,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
492,Lenovo,4,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,31990
493,Lenovo,8,AMD Ryzen 3 Dual Core Processor,256 GB SSD,39.62,Windows 10,37990
494,ASUS,4,Intel Celeron Dual Core Processor,128 GB SSD,29.46,Windows 11,29980
495,ASUS,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,46990
496,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
497,Lenovo,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,73490
498,Infinix,8,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,37990
499,Infinix,8,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,36990
500,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
501,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
502,acer,8,AMD Ryzen 5 Hexa Core Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,61490
503,HP,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 10,109990
504,HP,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,54990
505,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,35.56,Windows 10,50990
506,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
507,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
508,MSI,8,Intel Core i5 Processor,1 TB HDD,39.62,Windows 10,62190
509,ASUS,4,Intel Celeron Dual Core Processor,64 GB EMMC,39.62,Chrome,24390
510,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
511,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
512,Lenovo,8,Intel Core i3 Processor,1 TB HDD,39.62,Windows 11,36990
513,HP,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 10,159990
514,ASUS,4,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,34490
515,ASUS,16,AMD Ryzen 9 Octa Core Processor,512 GB SSD,42.16,Windows 11,99990
516,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
517,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
518,ASUS,8,Intel Core i5 Processor,512 GB SSD,33.78,Windows 11,79990
519,Infinix,4,Intel Celeron Quad Core Processor,128 GB SSD,35.56,Windows 11,20990
520,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
521,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
522,HP,8,Intel Core i3 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 11,41490
523,DELL,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,206581
524,ASUS,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,59990
525,acer,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,62990
526,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
527,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,44990
528,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
529,ASUS,8,AMD Ryzen 5 Hexa Core Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,62990
530,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
531,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
532,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 10,61990
533,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,105990
534,acer,16,Intel Core i7 Processor,1 TB SSD,39.62,Windows 11,155490
535,Ultimus,4,Intel Celeron Dual Core Processor,128 GB SSD,35.81,Windows 11,19990
536,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
537,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
538,Lenovo,4,Intel Core i3 Processor,1 TB HDD,39.62,Windows 10,33499
539,Infinix,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,42990
540,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
541,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
542,HP,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,63990
543,acer,16,Intel Core i9 Processor,1 TB SSD,39.62,Windows 11,124990
544,ASUS,4,Intel Celeron Dual Core Processor,64 GB EMMC,29.46,Windows 11,21990
545,Lenovo,4,Intel Celeron Dual Core Processor,256 GB SSD,35.56,Windows 10,30100
546,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
547,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
548,HP,32,Intel Core i7 Processor,1 TB SSD,43.94,Windows 11,199990
549,acer,8,Intel Core i5 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 11,61130
550,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
551,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,44990
552,Lenovo,8,Intel Core i3 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 11,40990
553,ASUS,8,Intel Core i5 Processor,1 TB SSD,39.62,Windows 10,75990
554,HP,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,46890
555,Lenovo,8,Intel Core i3 Processor,256 GB SSD,39.62,Windows 11,37390
556,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
557,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
558,Lenovo,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,68490
559,ASUS,4,Intel Celeron Dual Core Processor,64 GB EMMC,29.46,Windows 11,19990
560,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
561,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
562,ASUS,16,Intel Core i7 Processor,512 GB SSD,35.56,Windows 11,89990
563,DELL,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,59790
564,MSI,16,Intel Core i9 Processor,1 TB SSD,39.62,Windows 11,125990
565,ASUS,32,AMD Ryzen 7 Octa Core Processor,2 TB SSD,40.64,Windows 11,249990
566,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
567,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
568,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,149990
569,DELL,8,Intel Pentium Quad Core Processor,256 GB SSD,39.62,Windows 11,36990
570,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
571,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
572,ASUS,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,85990
573,HP,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,35.56,Windows 10,60990
574,DELL,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,87900
575,Lenovo,4,AMD Dual Core Processor,1 TB HDD,39.62,Windows 10,27490
576,DELL,8,Intel Pentium Quad Core Processor,256 GB SSD,39.62,Windows 11,36990
577,ASUS,32,AMD Ryzen 7 Octa Core Processor,2 TB SSD,40.64,Windows 11,249990
578,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,149990
579,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
580,HP,8,AMD Ryzen 3 Dual Core Processor,1 TB HDD,35.56,Windows 11,28999
581,DELL,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,87900
582,acer,16,Intel Core i7 Processor,"1 TB HDD, 512 GB SSD",39.62,Windows 10,117990
583,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
584,ASUS,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,85990
585,DELL,8,Intel Core i5 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 11,61497
586,HP,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,40.89,Windows 11,70400
587,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
588,Lenovo,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 10,69000
589,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,64490
590,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,149990
591,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
592,HP,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,40.89,Windows 11,96579
593,DELL,16,Intel Core i7 Processor,512 GB SSD,39.62,Windows 11,101990
594,ASUS,16,Intel Core i7 Processor,512 GB SSD,35.56,Windows 11,89990
595,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
596,HP,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,40.89,Windows 11,94990
597,MSI,32,Intel Core i7 Processor,2 TB SSD,43.94,Windows 11,314990
598,DELL,8,Intel Core i3 Processor,"1 TB HDD, 256 GB SSD",38.1,Windows 11,46900
599,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
600,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
601,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
602,ASUS,32,Intel Core i9 Processor,2 TB SSD,40.64,Windows 11,331990
603,DELL,16,Intel Core i7 Processor,1 TB SSD,39.62,Windows 11,116490
604,HP,8,AMD Ryzen 3 Hexa Core Processor,512 GB SSD,39.62,Windows 10,64590
605,DELL,16,Intel Core i7 Processor,1 TB SSD,39.62,Windows 11,137990
606,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
607,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
608,DELL,8,Intel Core i5 Processor,512 GB SSD,35.56,Windows 10,55690
609,Lenovo,16,Intel Core i7 Processor,512 GB SSD,39.62,Windows 10,109990
610,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
611,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
612,ASUS,8,Intel Core i7 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,79990
613,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,40.64,Windows 11,130500
614,ASUS,32,AMD Ryzen 9 Octa Core Processor,2 TB SSD,40.64,Windows 11,361990
615,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,40.64,Windows 11,211990
616,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
617,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
618,DELL,4,Intel Core i3 Processor,256 GB SSD,38.1,Windows 10,39890
619,MSI,16,Intel Core i7 Processor,1 TB SSD,39.62,Windows 11,139990
620,Lenovo,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,73490
621,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
622,MSI,16,Intel Core i7 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,99990
623,HP,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 10,66700
624,DELL,8,Intel Core i5 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,68990
625,DELL,32,Intel Core i9 Processor,1 TB SSD,43.94,Windows 11,434830
626,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
627,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
628,ALIENWARE,32,Intel Core i9 Processor,1 TB SSD,39.62,Windows 10,345390
629,HP,16,Intel Core i7 Processor,512 GB SSD,39.62,Windows 11,105822
630,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
631,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
632,Lenovo,4,Intel Celeron Dual Core Processor,128 GB EMMC,29.46,Chrome,28490
633,Lenovo,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,66990
634,acer,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,86999
635,ASUS,8,Intel Core i3 Processor,256 GB SSD,39.62,Windows 10,36990
636,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
637,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
638,Lenovo,4,Intel Celeron Dual Core Processor,256 GB SSD,29.46,Windows 11,23250
639,DELL,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 10,42390
640,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
641,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
642,Lenovo,8,Intel Core i5 Processor,512 GB SSD,35.56,Windows 10,58990
643,ASUS,16,Intel Core i7 Processor,1 TB SSD,39.62,Windows 10,110990
644,acer,8,Intel Core i5 Processor,"1 TB HDD, 128 GB SSD",39.62,Windows 10,74590
645,DELL,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,71990
646,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
647,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,44990
648,Lenovo,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 10,84990
649,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,33.78,Windows 11,119990
650,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
651,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
652,MSI,32,Intel Core i7 Processor,1 TB SSD,39.62,Windows 10,214990
653,MSI,8,Intel Core i3 Processor,512 GB SSD,35.56,Windows 10,48790
654,DELL,16,AMD Ryzen 7 Octa Core Processor,512 GB SSD,40.64,Windows 11,76000
655,ASUS,32,AMD Ryzen 9 Octa Core Processor,1 TB SSD,34.04,Windows 10,224990
656,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
657,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
658,Infinix,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,49990
659,ASUS,16,Intel Core i7 Processor,512 GB SSD,34.04,Windows 11,164990
660,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
661,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
662,HP,8,AMD Ryzen 3 Dual Core Processor,256 GB SSD,39.62,Windows 11,31490
663,DELL,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,48077
664,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 10,154990
665,ASUS,32,Intel Core i7 Processor,1 TB SSD,39.62,Windows 10,224990
666,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
667,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
668,ASUS,8,Intel Core i5 Processor,1 TB HDD,39.62,Windows 10,44990
669,ASUS,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,65990
670,Lenovo,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,73490
671,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
672,ASUS,8,Intel Core i3 Processor,1 TB HDD,35.81,Windows 10,31990
673,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 10,38980
674,HP,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 10,68990
675,DELL,8,Intel Core i3 Processor,256 GB SSD,39.62,Windows 10,43090
676,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
677,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
678,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 10,154990
679,ASUS,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,65990
680,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
681,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
682,DELL,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,49348
683,DELL,16,Intel Core i7 Processor,512 GB SSD,39.62,Windows 11,221774
684,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 10,73990
685,DELL,16,AMD Ryzen 7 Octa Core Processor,512 GB SSD,40.64,Windows 11,77990
686,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
687,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
688,ALIENWARE,16,Intel Core i7 Processor,1 TB SSD,39.62,Windows 10,214790
689,ALIENWARE,16,Intel Core i7 Processor,512 GB SSD,39.62,Windows 10,199990
690,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
691,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
692,DELL,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,48077
693,DELL,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,35.56,Windows 11,52414
694,ASUS,16,Intel Core i7 Processor,1 TB SSD,40.64,Windows 11,179990
695,ASUS,4,Intel Celeron Dual Core Processor,64 GB EMMC,35.56,Chrome,25990
696,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
697,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
698,DELL,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,80615
699,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,155990
700,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
701,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
702,Infinix,16,Intel Core i7 Processor,512 GB SSD,35.56,Windows 11,49990
703,Lenovo,16,Intel Core i7 Processor,1 TB SSD,40.64,Windows 11,157990
704,ASUS,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,92990
705,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,40.64,Windows 11,171990
706,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
707,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
708,ASUS,8,Intel Core i5 Processor,1 TB HDD,39.62,Windows 10,44990
709,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,34.04,Windows 11,151990
710,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
711,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
712,ASUS,16,Intel Core i7 Processor,2 TB SSD,35.56,Windows 10,233990
713,DELL,16,Intel Core i5 Processor,512 GB SSD,33.78,Windows 11,76590
714,HP,16,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 10,90000
715,ASUS,4,Intel Celeron Dual Core Processor,64 GB EMMC,29.46,Chrome,23490
716,Lenovo,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,73490
717,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
718,ASUS,16,Intel Core i7 Processor,512 GB SSD,35.56,Windows 11,125990
719,Lenovo,8,Intel Core i5 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,50990
